Name,Package URL,Github,ecosystem,Mean,Median,Range,q1,q2,q3,Std
google-crc32c,https://pypi.org/project/google-crc32c/,https://github.com/googleapis/python-crc32c,pypi,0.3452380952380953,0.08333333333333333,0.9722222222222222,0.027777777777777776,0.08333333333333333,0.7777777777777778,0.3806836022723498
sagemaker,https://pypi.org/project/sagemaker/,https://github.com/aws/sagemaker-python-sdk/,pypi,0.07521084337349399,0.03313253012048193,0.9879518072289156,0.015060240963855422,0.03313253012048193,0.07530120481927711,0.12466201584955325
tenacity,https://pypi.org/project/tenacity/,https://github.com/jd/tenacity,pypi,0.03418803418803419,0.00641025641025641,0.9935897435897436,0.00641025641025641,0.00641025641025641,0.01282051282051282,0.12602979210400328
prompt-toolkit,https://pypi.org/project/prompt-toolkit/,https://github.com/prompt-toolkit/python-prompt-toolkit,pypi,0.01153396311291048,0.000899685110211426,0.9995501574448943,0.000449842555105713,0.000899685110211426,0.001349527665317139,0.09941745427278323
google-cloud-bigquery,https://pypi.org/project/google-cloud-bigquery/,https://github.com/googleapis/python-bigquery,pypi,0.04843243243243242,0.005405405405405406,0.9972972972972973,0.002702702702702703,0.005405405405405406,0.02702702702702703,0.132315270843792
tzdata,https://pypi.org/project/tzdata/,https://github.com/python/tzdata,pypi,0.34050179211469533,0.010752688172043012,0.989247311827957,0.010752688172043012,0.010752688172043012,1,0.4663356549760744
snowflake-connector-python,https://pypi.org/project/snowflake-connector-python/,https://github.com/snowflakedb/snowflake-connector-python,pypi,0.03886935654891455,0.0027624309392265192,0.9972375690607734,0.0027624309392265192,0.0027624309392265192,0.008287292817679558,0.15136429558939352
gunicorn,https://pypi.org/project/gunicorn/,https://github.com/benoitc/gunicorn,pypi,0.01810905892700088,0.002638522427440633,0.9982409850483729,0.001759014951627089,0.002638522427440633,0.0043975373790677225,0.10169906573769857
Cython,https://pypi.org/project/Cython/,https://github.com/cython/cython,pypi,0.017728173091573988,0.0013713240895931737,0.9993905226268475,0.0009142160597287826,0.0013713240895931737,0.0022855401493219562,0.10473472626167413
azure-identity,https://pypi.org/project/azure-identity/,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/identity/azure-identity,pypi,0.06370481927710844,0.01957831325301205,0.9944779116465864,0.010542168674698794,0.01957831325301205,0.05773092369477912,0.1372855033075105
httplib2,https://pypi.org/project/httplib2/,https://github.com/httplib2/httplib2,pypi,0.03324915824915825,0.005050505050505051,0.9949494949494949,0.005050505050505051,0.005050505050505051,0.005050505050505051,0.13744517993570365
alembic,https://pypi.org/project/alembic/,https://github.com/sqlalchemy/alembic/,pypi,0.012451229855810009,0.0008481764206955047,0.9991518235793045,0.0008481764206955047,0.0008481764206955047,0.0016963528413910093,0.09952567898350735
markdown-it-py,https://pypi.org/project/markdown-it-py/,https://github.com/executablebooks/markdown-it-py,pypi,0.0603448275862069,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0.017241379310344827,0.20028421269321728
CacheControl,https://pypi.org/project/CacheControl/,https://github.com/psf/cachecontrol,pypi,0.027968664101154478,0.004672897196261682,0.9953271028037384,0.004672897196261682,0.004672897196261682,0.014018691588785047,0.12024265584735642
rich,https://pypi.org/project/rich/,https://github.com/Textualize/rich,pypi,0.015332575326890278,0.0022740193291642978,0.9988629903354178,0.0017055144968732233,0.0022740193291642978,0.003979533826037522,0.10011040658655322
