Name,Package URL,Github,Downloads
prometheus-client,https://pypi.org/project/prometheus-client/,https://github.com/prometheus/client_python,23547734
redshift-connector,https://pypi.org/project/redshift-connector/,https://github.com/aws/amazon-redshift-python-driver,23229009
oscrypto,https://pypi.org/project/oscrypto/,https://github.com/wbond/oscrypto,23228454
dulwich,https://pypi.org/project/dulwich/,https://www.dulwich.io/,23166980
webencodings,https://pypi.org/project/webencodings/,https://github.com/SimonSapin/python-webencodings,23132099
ruamel.yaml.clib,https://pypi.org/project/ruamel.yaml.clib/,https://sourceforge.net/p/ruamel-yaml-clib/code/ci/default/tree,23084077
pyodbc,https://pypi.org/project/pyodbc/,https://github.com/mkleehammer/pyodbc,22843325
pycryptodome,https://pypi.org/project/pycryptodome/,https://github.com/Legrandin/pycryptodome/,22808242
httpx,https://pypi.org/project/httpx/,https://github.com/encode/httpx,22727079
sortedcontainers,https://pypi.org/project/sortedcontainers/,http://www.grantjenks.com/docs/sortedcontainers/,22675846
httpcore,https://pypi.org/project/httpcore/,https://github.com/encode/httpcore,22675235
jeepney,https://pypi.org/project/jeepney/,https://gitlab.com/takluyver/jeepney,22385334
Mako,https://pypi.org/project/Mako/,https://www.makotemplates.org/,22369000
Babel,https://pypi.org/project/Babel/,https://github.com/python-babel/babel,22366133
poetry,https://pypi.org/project/poetry/,https://python-poetry.org/,22352579
SecretStorage,https://pypi.org/project/SecretStorage/,https://github.com/mitya57/secretstorage,22352394
defusedxml,https://pypi.org/project/defusedxml/,https://github.com/tiran/defusedxml,22131021
isort,https://pypi.org/project/isort/,https://pycqa.github.io/isort/,21993041
jsonpointer,https://pypi.org/project/jsonpointer/,https://github.com/stefankoegl/python-json-pointer,21762360
blinker,https://pypi.org/project/blinker/,https://github.com/pallets-eco/blinker/,21703345
black,https://pypi.org/project/black/,https://github.com/psf/black,21701642
jupyter-client,https://pypi.org/project/jupyter-client/,https://github.com/jupyter/jupyter_client,21508375
typing-inspect,https://pypi.org/project/typing-inspect/,https://github.com/ilevkivskyi/typing_inspect,21256954
jupyter-core,https://pypi.org/project/jupyter-core/,https://github.com/jupyter/jupyter_core,21177523
pymongo,https://pypi.org/project/pymongo/,http://github.com/mongodb/mongo-python-driver,21115916
pkgutil_resolve_name,https://pypi.org/project/pkgutil_resolve_name/,https://github.com/graingert/pkgutil-resolve-name,21009215
mdit-py-plugins,https://pypi.org/project/mdit-py-plugins/,https://github.com/executablebooks/mdit-py-plugins,20982658
datadog,https://pypi.org/project/datadog/,https://github.com/DataDog/datadogpy,20939225
contourpy,https://pypi.org/project/contourpy/,https://github.com/contourpy/contourpy,20804737
adal,https://pypi.org/project/adal/,https://github.com/AzureAD/azure-activedirectory-library-for-python,20713782
pkginfo,https://pypi.org/project/pkginfo/,https://code.launchpad.net/~tseaver/pkginfo/trunk,20597806
parso,https://pypi.org/project/parso/,https://github.com/davidhalter/parso,20587046
