Name,Package URL,Github,ecosystem,goodFirstIssue
browserslist,https://www.npmjs.com/package/browserslist,https://github.com/browserslist/browserslist,npm,false
css-loader,https://www.npmjs.com/package/css-loader,https://github.com/webpack-contrib/css-loader,npm,false
styled-components,https://www.npmjs.com/package/styled-components,https://github.com/styled-components/styled-components,npm,true
@babel/preset-env,https://www.npmjs.com/package/%40babel%2Fpreset-env,https://github.com/babel/babel,npm,true
regenerator-runtime,https://www.npmjs.com/package/regenerator-runtime,https://github.com/facebook/regenerator/tree/main,npm,false
html-webpack-plugin,https://www.npmjs.com/package/html-webpack-plugin,https://github.com/jantimon/html-webpack-plugin,npm,false
mongoose,https://www.npmjs.com/package/mongoose,https://github.com/Automattic/mongoose,npm,true
handlebars,https://www.npmjs.com/package/handlebars,https://github.com/handlebars-lang/handlebars.js,npm,true
https-proxy-agent,https://www.npmjs.com/package/https-proxy-agent,https://github.com/TooTallNate/proxy-agents,npm,false
pg,https://www.npmjs.com/package/pg,https://github.com/brianc/node-postgres,npm,false
js-cookie,https://www.npmjs.com/package/js-cookie,https://github.com/js-cookie/js-cookie,npm,true
sass,https://www.npmjs.com/package/sass,https://github.com/sass/dart-sass,npm,false
brace-expansion,https://www.npmjs.com/package/brace-expansion,https://github.com/juliangruber/brace-expansion,npm,false
dayjs,https://www.npmjs.com/package/dayjs,https://github.com/iamkun/dayjs,npm,true
socket.io,https://www.npmjs.com/package/socket.io,https://github.com/socketio/socket.io,npm,true
slash,https://www.npmjs.com/package/slash,https://github.com/sindresorhus/slash,npm,false
nopt,https://www.npmjs.com/package/nopt,https://github.com/npm/nopt,npm,true
base64-js,https://www.npmjs.com/package/base64-js,https://github.com/beatgammit/base64-js,npm,false
got,https://www.npmjs.com/package/got,https://github.com/sindresorhus/got,npm,false
expect,https://www.npmjs.com/package/expect,https://github.com/jestjs/jest,npm,true
express-session,https://www.npmjs.com/package/express-session,https://github.com/expressjs/session,npm,false
punycode,https://www.npmjs.com/package/punycode,https://github.com/mathiasbynens/punycode.js,npm,false
jsonfile,https://www.npmjs.com/package/jsonfile,https://github.com/jprichardson/node-jsonfile,npm,false
nodemailer,https://www.npmjs.com/package/nodemailer,https://github.com/nodemailer/nodemailer,npm,false
escodegen,https://www.npmjs.com/package/escodegen,https://github.com/estools/escodegen,npm,false
fast-glob,https://www.npmjs.com/package/fast-glob,https://github.com/mrmlnc/fast-glob,npm,false
raw-body,https://www.npmjs.com/package/raw-body,https://github.com/stream-utils/raw-body,npm,false
resolve-from,https://www.npmjs.com/package/resolve-from,https://github.com/sindresorhus/resolve-from,npm,false
yallist,https://www.npmjs.com/package/yallist,https://github.com/isaacs/yallist,npm,false
style-loader,https://www.npmjs.com/package/style-loader,https://github.com/webpack-contrib/style-loader,npm,false
get-stream,https://www.npmjs.com/package/get-stream,https://github.com/sindresorhus/get-stream,npm,false
webpack-merge,https://www.npmjs.com/package/webpack-merge,https://github.com/survivejs/webpack-merge,npm,false
isarray,https://www.npmjs.com/package/isarray,https://github.com/juliangruber/isarray,npm,false
pretty-format,https://www.npmjs.com/package/pretty-format,https://github.com/jestjs/jest,npm,true
helmet,https://www.npmjs.com/package/helmet,https://github.com/helmetjs/helmet,npm,false
make-dir,https://www.npmjs.com/package/make-dir,https://github.com/sindresorhus/make-dir,npm,false
deep-equal,https://www.npmjs.com/package/deep-equal,https://github.com/inspect-js/node-deep-equal,npm,false
eslint-config-prettier,https://www.npmjs.com/package/eslint-config-prettier,https://github.com/prettier/eslint-config-prettier,npm,false
protobufjs,https://www.npmjs.com/package/protobufjs,https://github.com/protobufjs/protobuf.js,npm,true
del,https://www.npmjs.com/package/del,https://github.com/sindresorhus/del,npm,false
sinon,https://www.npmjs.com/package/sinon,https://github.com/sinonjs/sinon,npm,true
ignore,https://www.npmjs.com/package/ignore,https://github.com/kaelzhang/node-ignore,npm,false
superagent,https://www.npmjs.com/package/superagent,https://github.com/ladjs/superagent,npm,false
util,https://www.npmjs.com/package/util,https://github.com/browserify/node-util,npm,false
gulp,https://www.npmjs.com/package/gulp,https://github.com/gulpjs/gulp,npm,false
jsesc,https://www.npmjs.com/package/jsesc,https://github.com/mathiasbynens/jsesc,npm,false
globby,https://www.npmjs.com/package/globby,https://github.com/sindresorhus/globby,npm,false
react-transition-group,https://www.npmjs.com/package/react-transition-group,https://github.com/reactjs/react-transition-group,npm,false
type-fest,https://www.npmjs.com/package/type-fest,https://github.com/sindresorhus/type-fest,npm,true
webpack-dev-server,https://www.npmjs.com/package/webpack-dev-server,https://github.com/webpack/webpack-dev-server,npm,false
color-name,https://www.npmjs.com/package/color-name,https://github.com/colorjs/color-name,npm,false
entities,https://www.npmjs.com/package/entities,https://github.com/fb55/entities,npm,false
moment-timezone,https://www.npmjs.com/package/moment-timezone,https://github.com/moment/moment-timezone,npm,false
react-is,https://www.npmjs.com/package/react-is,https://github.com/facebook/react,npm,true
prompts,https://www.npmjs.com/package/prompts,https://github.com/terkelg/prompts,npm,true
string-width,https://www.npmjs.com/package/string-width,https://github.com/sindresorhus/string-width,npm,false
is-number,https://www.npmjs.com/package/is-number,https://github.com/jonschlinkert/is-number,npm,false
on-finished,https://www.npmjs.com/package/on-finished,https://github.com/jshttp/on-finished,npm,false
babel-jest,https://www.npmjs.com/package/babel-jest,https://github.com/jestjs/jest,npm,true
connect,https://www.npmjs.com/package/connect,https://github.com/senchalabs/connect,npm,false
is-stream,https://www.npmjs.com/package/is-stream,https://github.com/sindresorhus/is-stream,npm,false
lodash.merge,https://www.npmjs.com/package/lodash.merge,https://github.com/lodash/lodash,npm,false
pako,https://www.npmjs.com/package/pako,https://github.com/nodeca/pako,npm,false
archiver,https://www.npmjs.com/package/archiver,https://github.com/archiverjs/node-archiver,npm,false
fast-deep-equal,https://www.npmjs.com/package/fast-deep-equal,https://github.com/epoberezkin/fast-deep-equal,npm,false
signal-exit,https://www.npmjs.com/package/signal-exit,https://github.com/tapjs/signal-exit,npm,false
reflect-metadata,https://www.npmjs.com/package/reflect-metadata,https://github.com/rbuckton/reflect-metadata,npm,false
anymatch,https://www.npmjs.com/package/anymatch,https://github.com/micromatch/anymatch,npm,false
markdown-it,https://www.npmjs.com/package/markdown-it,https://github.com/markdown-it/markdown-it,npm,false
invariant,https://www.npmjs.com/package/invariant,https://github.com/zertosh/invariant,npm,false
less,https://www.npmjs.com/package/less,https://github.com/less/less.js,npm,true
bl,https://www.npmjs.com/package/bl,https://github.com/rvagg/bl,npm,false
string_decoder,https://www.npmjs.com/package/string_decoder,https://github.com/nodejs/string_decoder,npm,false
npmlog,https://www.npmjs.com/package/npmlog,https://github.com/npm/npmlog,npm,true
emoji-regex,https://www.npmjs.com/package/emoji-regex,https://github.com/mathiasbynens/emoji-regex,npm,false
has,https://www.npmjs.com/package/has,https://github.com/tarruda/has,npm,false
tough-cookie,https://www.npmjs.com/package/tough-cookie,https://github.com/salesforce/tough-cookie,npm,false
husky,https://www.npmjs.com/package/husky,https://github.com/typicode/husky,npm,false
inherits,https://www.npmjs.com/package/inherits,https://github.com/isaacs/inherits,npm,false
dateformat,https://www.npmjs.com/package/dateformat,https://github.com/felixge/node-dateformat,npm,false
json-stringify-safe,https://www.npmjs.com/package/json-stringify-safe,https://github.com/isaacs/json-stringify-safe,npm,false
bytes,https://www.npmjs.com/package/bytes,https://github.com/visionmedia/bytes.js,npm,false
sax,https://www.npmjs.com/package/sax,https://github.com/isaacs/sax-js,npm,false
@typescript-eslint/parser,https://www.npmjs.com/package/%40typescript-eslint%2Fparser,https://github.com/typescript-eslint/typescript-eslint,npm,true
nan,https://www.npmjs.com/package/nan,https://github.com/nodejs/nan,npm,false
globals,https://www.npmjs.com/package/globals,https://github.com/sindresorhus/globals,npm,false
long,https://www.npmjs.com/package/long,https://github.com/dcodeIO/long.js,npm,false
file-type,https://www.npmjs.com/package/file-type,https://github.com/sindresorhus/file-type,npm,false
md5,https://www.npmjs.com/package/md5,https://github.com/pvorb/node-md5,npm,false
jest-cli,https://www.npmjs.com/package/jest-cli,https://github.com/jestjs/jest,npm,true
process,https://www.npmjs.com/package/process,https://github.com/shtylman/node-process,npm,false
puppeteer,https://www.npmjs.com/package/puppeteer,https://github.com/puppeteer/puppeteer/tree/main,npm,true
p-locate,https://www.npmjs.com/package/p-locate,https://github.com/sindresorhus/p-locate,npm,false
pm2,https://www.npmjs.com/package/pm2,https://github.com/Unitech/pm2,npm,false
svgo,https://www.npmjs.com/package/svgo,https://github.com/svg/svgo,npm,false
postcss-loader,https://www.npmjs.com/package/postcss-loader,https://github.com/webpack-contrib/postcss-loader,npm,true
balanced-match,https://www.npmjs.com/package/balanced-match,https://github.com/juliangruber/balanced-match,npm,false
meow,https://www.npmjs.com/package/meow,https://github.com/sindresorhus/meow,npm,false
busboy,https://www.npmjs.com/package/busboy,https://github.com/mscdex/busboy,npm,false
eslint-config-airbnb,https://www.npmjs.com/package/eslint-config-airbnb,https://github.com/airbnb/javascript,npm,false
multer,https://www.npmjs.com/package/multer,https://github.com/expressjs/multer,npm,false
run-parallel,https://www.npmjs.com/package/run-parallel,https://github.com/feross/run-parallel,npm,false
redis,https://www.npmjs.com/package/redis,https://github.com/redis/node-redis,npm,true
mz,https://www.npmjs.com/package/mz,https://github.com/normalize/mz,npm,false
cli-spinners,https://www.npmjs.com/package/cli-spinners,https://github.com/sindresorhus/cli-spinners,npm,false
fast-levenshtein,https://www.npmjs.com/package/fast-levenshtein,https://github.com/hiddentao/fast-levenshtein,npm,false
y18n,https://www.npmjs.com/package/y18n,https://github.com/yargs/y18n,npm,false
@types/react-dom,https://www.npmjs.com/package/%40types%2Freact-dom,https://github.com/DefinitelyTyped/DefinitelyTyped,npm,false
sharp,https://www.npmjs.com/package/sharp,https://github.com/lovell/sharp,npm,true
koa,https://www.npmjs.com/package/koa,https://github.com/koajs/koa,npm,false
whatwg-url,https://www.npmjs.com/package/whatwg-url,https://github.com/jsdom/whatwg-url,npm,false
end-of-stream,https://www.npmjs.com/package/end-of-stream,https://github.com/mafintosh/end-of-stream,npm,false
pify,https://www.npmjs.com/package/pify,https://github.com/sindresorhus/pify,npm,false
file-loader,https://www.npmjs.com/package/file-loader,https://github.com/webpack-contrib/file-loader,npm,false
onetime,https://www.npmjs.com/package/onetime,https://github.com/sindresorhus/onetime,npm,false
lodash-es,https://www.npmjs.com/package/lodash-es,https://github.com/lodash/lodash,npm,false
parse-json,https://www.npmjs.com/package/parse-json,https://github.com/sindresorhus/parse-json,npm,false
acorn,https://www.npmjs.com/package/acorn,https://github.com/acornjs/acorn,npm,false
figures,https://www.npmjs.com/package/figures,https://github.com/sindresorhus/figures,npm,false
@typescript-eslint/eslint-plugin,https://www.npmjs.com/package/%40typescript-eslint%2Feslint-plugin,https://github.com/typescript-eslint/typescript-eslint,npm,true
lodash.debounce,https://www.npmjs.com/package/lodash.debounce,https://github.com/lodash/lodash,npm,false
strip-json-comments,https://www.npmjs.com/package/strip-json-comments,https://github.com/sindresorhus/strip-json-comments,npm,false
content-type,https://www.npmjs.com/package/content-type,https://github.com/jshttp/content-type,npm,false
finalhandler,https://www.npmjs.com/package/finalhandler,https://github.com/pillarjs/finalhandler,npm,false
glob-parent,https://www.npmjs.com/package/glob-parent,https://github.com/gulpjs/glob-parent,npm,false
promise,https://www.npmjs.com/package/promise,https://github.com/then/promise,npm,false
mime-db,https://www.npmjs.com/package/mime-db,https://github.com/jshttp/mime-db,npm,false
query-string,https://www.npmjs.com/package/query-string,https://github.com/sindresorhus/query-string,npm,false
esbuild,https://www.npmjs.com/package/esbuild,https://github.com/evanw/esbuild,npm,false
rc,https://www.npmjs.com/package/rc,https://github.com/dominictarr/rc,npm,false
locate-path,https://www.npmjs.com/package/locate-path,https://github.com/sindresorhus/locate-path,npm,false
wrap-ansi,https://www.npmjs.com/package/wrap-ansi,https://github.com/chalk/wrap-ansi,npm,false
espree,https://www.npmjs.com/package/espree,https://github.com/eslint/espree,npm,true
etag,https://www.npmjs.com/package/etag,https://github.com/jshttp/etag,npm,false
inflight,https://www.npmjs.com/package/inflight,https://github.com/npm/inflight,npm,true
he,https://www.npmjs.com/package/he,https://github.com/mathiasbynens/he,npm,false
ipaddr.js,https://www.npmjs.com/package/ipaddr.js,https://github.com/whitequark/ipaddr.js,npm,true
convert-source-map,https://www.npmjs.com/package/convert-source-map,https://github.com/thlorenz/convert-source-map,npm,false
react-select,https://www.npmjs.com/package/react-select,https://github.com/JedWatson/react-select/tree/master,npm,false
tmp,https://www.npmjs.com/package/tmp,https://github.com/raszi/node-tmp,npm,false
is-glob,https://www.npmjs.com/package/is-glob,https://github.com/micromatch/is-glob,npm,false
wrappy,https://www.npmjs.com/package/wrappy,https://github.com/npm/wrappy,npm,true
write-file-atomic,https://www.npmjs.com/package/write-file-atomic,https://github.com/npm/write-file-atomic,npm,true
leven,https://www.npmjs.com/package/leven,https://github.com/sindresorhus/leven,npm,false
image-size,https://www.npmjs.com/package/image-size,https://github.com/image-size/image-size,npm,false
js-tokens,https://www.npmjs.com/package/js-tokens,https://github.com/lydell/js-tokens,npm,false
is-plain-object,https://www.npmjs.com/package/is-plain-object,https://github.com/jonschlinkert/is-plain-object,npm,false
node-sass,https://www.npmjs.com/package/node-sass,https://github.com/sass/node-sass,npm,true
doctrine,https://www.npmjs.com/package/doctrine,https://github.com/eslint/doctrine,npm,false
parseurl,https://www.npmjs.com/package/parseurl,https://github.com/pillarjs/parseurl,npm,false
@babel/types,https://www.npmjs.com/package/%40babel%2Ftypes,https://github.com/babel/babel,npm,true
magic-string,https://www.npmjs.com/package/magic-string,https://github.com/rich-harris/magic-string,npm,false
ioredis,https://www.npmjs.com/package/ioredis,https://github.com/luin/ioredis,npm,false
log4js,https://www.npmjs.com/package/log4js,https://github.com/log4js-node/log4js-node,npm,true
methods,https://www.npmjs.com/package/methods,https://github.com/jshttp/methods,npm,false
url,https://www.npmjs.com/package/url,https://github.com/defunctzombie/node-url,npm,false
d3,https://www.npmjs.com/package/d3,https://github.com/d3/d3,npm,false
eslint-plugin-prettier,https://www.npmjs.com/package/eslint-plugin-prettier,https://github.com/prettier/eslint-plugin-prettier,npm,true
json5,https://www.npmjs.com/package/json5,https://github.com/json5/json5,npm,false
diff,https://www.npmjs.com/package/diff,https://github.com/kpdecker/jsdiff,npm,false
decamelize,https://www.npmjs.com/package/decamelize,https://github.com/sindresorhus/decamelize,npm,false
pluralize,https://www.npmjs.com/package/pluralize,https://github.com/blakeembrey/pluralize,npm,false
ua-parser-js,https://www.npmjs.com/package/ua-parser-js,https://github.com/faisalman/ua-parser-js,npm,false
type-check,https://www.npmjs.com/package/type-check,https://github.com/gkz/type-check,npm,false
path-key,https://www.npmjs.com/package/path-key,https://github.com/sindresorhus/path-key,npm,false
cross-fetch,https://www.npmjs.com/package/cross-fetch,https://github.com/lquixada/cross-fetch,npm,false
