Name,Package URL,Github, Downloads
aws-sdk-snowball,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-snowball,64595045
aws-sdk-elastictranscoder,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-elastictranscoder,64554410
aws-sdk-dax,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-dax,64457551
aws-sdk-marketplacemetering,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-marketplacemetering,64449575
aws-sdk-comprehend,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-comprehend,64424947
aws-sdk-dynamodbstreams,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-dynamodbstreams,64422125
aws-sdk-migrationhub,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-migrationhub,64407069
debase-ruby_core_source,https://github.com/ruby-debug/debase-ruby_core_source,https://github.com/ruby-debug/debase-ruby_core_source,64144358
aws-sdk-swf,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-swf,64139392
deep_merge,https://github.com/danielsdeleo/deep_merge,https://github.com/danielsdeleo/deep_merge,64121085
aws-sdk-simpledb,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-simpledb,64083517
fog-local,https://github.com/fog/fog-local,https://github.com/fog/fog-local,64064143
aws-sdk-glacier,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-glacier,64061448
tzinfo-data,https://tzinfo.github.io,https://github.com/tzinfo/tzinfo-data,63968721
mongo,https://mongodb.com/docs/ruby-driver/,https://github.com/mongodb/mongo-ruby-driver,63936378
rspec-retry,http://github.com/NoRedInk/rspec-retry,https://github.com/noredink/rspec-retry,63920602
aws-sdk-iotdataplane,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-iotdataplane,63897889
aws-sdk-marketplacecommerceanalytics,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-marketplacecommerceanalytics,63884159
aws-sdk-wafregional,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-wafregional,63880408
factory_girl,https://github.com/thoughtbot/factory_girl,https://github.com/thoughtbot/factory_girl,63807376
aws-sdk-workdocs,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-workdocs,63788621
aws-sdk-machinelearning,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-machinelearning,63784105
aws-sdk-inspector,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-inspector,63775438
aws-sdk-support,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-support,63725227
aws-sdk-cloudsearchdomain,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-cloudsearchdomain,63688630
aws-sdk-mturk,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-mturk,63677529
savon,http://savonrb.com,https://github.com/savonrb/savon,63657208
ransack,https://github.com/activerecord-hackery/ransack,https://github.com/activerecord-hackery/ransack,63647971
aws-sdk-clouddirectory,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-clouddirectory,63620257
aws-sdk-kinesisanalytics,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-kinesisanalytics,63515397
aws-sdk-lambdapreview,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-lambdapreview,63436259
aws-sdk-datapipeline,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-datapipeline,63420103
aws-sdk-cognitosync,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-cognitosync,63415202
