Name,Package URL,Github,ecosystem,health_percentage,description,readme,code_of_conduct,contributing,license,pull_request_template,admin_accepts_content_report
lodash.merge,https://www.npmjs.com/package/lodash.merge,https://github.com/lodash/lodash,npm,62,true,true,false,true,true,false,false
pako,https://www.npmjs.com/package/pako,https://github.com/nodeca/pako,npm,50,true,true,false,false,true,false,false
archiver,https://www.npmjs.com/package/archiver,https://github.com/archiverjs/node-archiver,npm,50,true,true,false,true,true,false,false
fast-deep-equal,https://www.npmjs.com/package/fast-deep-equal,https://github.com/epoberezkin/fast-deep-equal,npm,42,true,true,false,false,true,false,false
signal-exit,https://www.npmjs.com/package/signal-exit,https://github.com/tapjs/signal-exit,npm,62,true,true,true,true,true,false,false
reflect-metadata,https://www.npmjs.com/package/reflect-metadata,https://github.com/rbuckton/reflect-metadata,npm,42,true,true,false,false,true,false,false
anymatch,https://www.npmjs.com/package/anymatch,https://github.com/micromatch/anymatch,npm,75,true,true,true,true,true,false,false
markdown-it,https://www.npmjs.com/package/markdown-it,https://github.com/markdown-it/markdown-it,npm,75,true,true,false,true,true,false,false
invariant,https://www.npmjs.com/package/invariant,https://github.com/zertosh/invariant,npm,42,true,true,false,false,true,false,false
less,https://www.npmjs.com/package/less,https://github.com/less/less.js,npm,87,true,true,false,true,true,true,true
bl,https://www.npmjs.com/package/bl,https://github.com/rvagg/bl,npm,42,true,true,false,false,true,false,false
string_decoder,https://www.npmjs.com/package/string_decoder,https://github.com/nodejs/string_decoder,npm,75,true,true,true,true,true,false,false
npmlog,https://www.npmjs.com/package/npmlog,https://github.com/npm/npmlog,npm,87,true,true,true,true,true,true,false
emoji-regex,https://www.npmjs.com/package/emoji-regex,https://github.com/mathiasbynens/emoji-regex,npm,42,true,true,false,false,true,false,false
has,https://www.npmjs.com/package/has,https://github.com/tarruda/has,npm,42,true,true,false,false,true,false,false
tough-cookie,https://www.npmjs.com/package/tough-cookie,https://github.com/salesforce/tough-cookie,npm,62,true,true,true,false,true,false,false
husky,https://www.npmjs.com/package/husky,https://github.com/typicode/husky,npm,71,true,true,false,true,true,false,false
inherits,https://www.npmjs.com/package/inherits,https://github.com/isaacs/inherits,npm,57,true,true,false,true,true,false,false
dateformat,https://www.npmjs.com/package/dateformat,https://github.com/felixge/node-dateformat,npm,57,true,true,false,true,true,false,false
json-stringify-safe,https://www.npmjs.com/package/json-stringify-safe,https://github.com/isaacs/json-stringify-safe,npm,42,true,true,false,false,true,false,false
bytes,https://www.npmjs.com/package/bytes,https://github.com/visionmedia/bytes.js,npm,37,true,true,false,false,true,false,false
sax,https://www.npmjs.com/package/sax,https://github.com/isaacs/sax-js,npm,57,true,true,false,true,true,false,false
@typescript-eslint/parser,https://www.npmjs.com/package/%40typescript-eslint%2Fparser,https://github.com/typescript-eslint/typescript-eslint,npm,100,true,true,true,true,true,true,true
nan,https://www.npmjs.com/package/nan,https://github.com/nodejs/nan,npm,75,true,true,true,true,true,false,false
globals,https://www.npmjs.com/package/globals,https://github.com/sindresorhus/globals,npm,85,true,true,true,true,true,false,false
long,https://www.npmjs.com/package/long,https://github.com/dcodeIO/long.js,npm,42,true,true,false,false,true,false,false
file-type,https://www.npmjs.com/package/file-type,https://github.com/sindresorhus/file-type,npm,100,true,true,true,true,true,true,false
md5,https://www.npmjs.com/package/md5,https://github.com/pvorb/node-md5,npm,42,true,true,false,false,true,false,false
