Name,Package URL,Github,ecosystem,Mean,Median,Range,q1,q2,q3,Std,totalContributors
com.mikhaellopez:circularimageview,https://github.com/lopspower/CircularImageView,https://github.com/lopspower/CircularImageView,maven,0.2552083333333333,0.006944444444444444,0.9930555555555556,0.006944444444444444,0.006944444444444444,1,0.43000566924019007,4
com.facebook.soloader:soloader,https://github.com/facebook/soloader,https://github.com/facebook/soloader,maven,0.06822386679000923,0.010869565217391304,0.9891304347826086,0.010869565217391304,0.010869565217391304,0.021739130434782608,0.17577778799044072,47
com.nulab-inc:zxcvbn,https://github.com/nulab/zxcvbn4j,https://github.com/nulab/zxcvbn4j,maven,0.05903398926654741,0.005813953488372093,0.9941860465116279,0.005813953488372093,0.005813953488372093,0.023255813953488372,0.19107071907437048,26
org.apache.maven.reporting:maven-reporting-impl,https://maven.apache.org/shared/,https://github.com/apache/maven-reporting-impl,maven,0.12376470588235294,0.024,0.992,0.016,0.024,0.08,0.2544973198545493,17
org.kordamp.bootstrapfx:bootstrapfx-core,https://github.com/kordamp/bootstrapfx,https://github.com/kordamp/bootstrapfx,maven,0.3803418803418803,0.1282051282051282,0.9871794871794872,0.01282051282051282,0.1282051282051282,1,0.44068926415373555,3
org.kohsuke:github-api,https://github-api.kohsuke.org/,https://github.com/hub4j/github-api,maven,0.03402649006622517,0.006622516556291391,0.9973509933774835,0.003973509933774834,0.006622516556291391,0.01456953642384106,0.13787242183101078,100
org.jboss.logmanager:jboss-logmanager,https://jboss.org,https://github.com/jboss-logging/jboss-logmanager,maven,0.08371745359411985,0.0028653295128939827,0.997134670487106,0.0028653295128939827,0.0028653295128939827,0.0057306590257879654,0.24936592884539394,23
com.opera:operadriver,http://opera.com/developer/tools/operadriver/,https://github.com/operasoftware/operadriver,maven,0.08458404802744426,0.005145797598627788,0.9982847341337907,0.0017152658662092624,0.005145797598627788,0.0411663807890223,0.2395297685930688,16
org.jfree:jcommon,http://www.jfree.org/jcommon/,https://github.com/jfree/jcommon,maven,0.3469387755102041,0.02040816326530612,0.9795918367346939,0.02040816326530612,0.02040816326530612,1,0.46178402036672495,3
org.logback-extensions:logback-ext-spring,https://github.com/qos-ch/logback-extensions,https://github.com/qos-ch/logback-extensions,maven,0.10416666666666666,0.020833333333333332,0.9895833333333334,0.010416666666666666,0.020833333333333332,0.052083333333333336,0.2598872824373089,13
